iter	Passed	Remaining
357	209342	83035
358	210068	82506
359	210769	81965
360	211574	81464
361	212336	80946
362	213295	80500
363	213926	79928
364	214651	79391
365	215528	78909
366	216452	78441
367	217344	77960
368	218251	77482
369	219073	76971
370	219631	76367
371	220341	75816
372	221206	75316
373	221878	74750
374	223162	74387
375	223993	73870
376	224997	73407
377	225618	72818
378	226439	72293
379	227241	71760
380	227985	71207
381	228899	70707
382	230270	70343
383	231658	69980
384	233103	69628
385	233905	69081
386	234689	68526
387	235439	67961
388	236497	67483
389	238266	67203
390	239613	66797
391	240215	66181
392	240859	65577
393	241428	64952
394	242042	64340
395	242684	63735
396	243395	63147
397	244118	62562
398	244837	61976
399	245480	61370
400	246216	60786
401	246925	60195
402	247568	59588
403	248343	59012
404	248953	58396
405	249644	57799
406	250208	57172
407	250952	56587
408	251461	55948
409	252014	55320
410	252635	54706
411	253349	54113
412	253895	53484
413	254635	52895
414	255143	52258
415	255833	51658
416	256437	51041
417	257237	50462
418	257874	49851
419	258495	49237
420	258972	48595
421	259660	47994
422	260253	47374
423	260944	46773
424	261575	46160
425	262248	45554
426	262847	44936
427	263435	44316
428	264142	43715
429	264854	43115
430	265323	42476
431	266027	41874
432	266675	41263
433	267255	40642
434	267931	40035
435	268504	39413
436	269165	38804
437	269746	38183
438	270342	37564
439	271093	36967
440	271974	36386
441	272501	35758
442	273275	35161
443	273849	34539
444	274564	33934
445	275174	33317
446	275838	32705
447	276397	32081
448	277063	31470
449	278261	30917
450	279016	30314
451	279873	29721
452	280552	29108
453	281260	28497
454	281973	27887
455	282586	27267
456	283310	26657
457	283981	26041
458	284535	25416
459	285092	24790
460	285699	24169
461	286360	23553
462	287034	22937
463	287676	22319
464	288424	21709
465	288988	21084
466	289603	20464
467	290196	19842
468	290918	19229
469	291549	18609
470	292134	17987
471	292832	17371
472	293599	16759
473	294141	16134
474	294824	15517
475	295476	14897
476	296354	14289
477	297265	13681
478	297889	13059
479	298586	12441
480	299234	11820
481	299836	11197
482	300539	10577
483	301185	9956
484	301878	9336
485	302443	8712
486	303293	8096
487	304175	7479
488	304922	6859
489	305619	6237
490	307058	5628
491	307869	5006
492	308636	4382
493	309235	3755
494	310069	3132
495	310815	2506
496	311440	1879
497	312176	1253
498	312976	627
499	313789	0
