iter	MultiClass
219	1.938339567
220	1.938287914
221	1.938234839
222	1.938206558
223	1.938129491
224	1.938039947
225	1.937976974
226	1.937946616
227	1.937922539
228	1.937913924
229	1.937801236
230	1.93780096
231	1.937750308
232	1.937717899
233	1.937691649
234	1.937627026
235	1.937530397
236	1.93740416
237	1.937373514
238	1.937341523
239	1.93728563
240	1.937193132
241	1.937111308
242	1.937050755
243	1.93701005
244	1.936944476
245	1.93679304
246	1.936751047
247	1.93669107
248	1.936636204
249	1.936568963
250	1.93647823
251	1.936370832
252	1.936217102
253	1.936157294
254	1.936077144
255	1.936017477
256	1.936000132
257	1.935961187
258	1.935901581
259	1.935823209
260	1.935705607
261	1.935563469
262	1.935466169
263	1.935370811
264	1.935279222
265	1.935153576
266	1.935089279
267	1.93496947
268	1.934951176
269	1.934879848
270	1.934746578
271	1.934697737
272	1.934550986
273	1.934516337
274	1.934379123
275	1.934325097
276	1.934176565
277	1.934049002
278	1.933896622
279	1.933732904
280	1.933607384
281	1.933537682
282	1.933487107
283	1.933376596
284	1.933223727
285	1.933034787
286	1.932921538
287	1.932842506
288	1.932737362
289	1.932701066
290	1.932638649
291	1.932469338
292	1.932383877
293	1.932228147
294	1.932168501
295	1.932117484
296	1.93209012
297	1.93198063
298	1.931922975
299	1.931811968
300	1.931643486
301	1.931477449
302	1.931445217
303	1.931347127
304	1.931217674
305	1.931147585
306	1.931089289
307	1.930969593
308	1.930885948
309	1.930825187
310	1.930784699
311	1.930641612
312	1.930626101
313	1.9304653
314	1.930408908
315	1.930206377
316	1.930086651
317	1.929989605
318	1.929918874
319	1.929855475
320	1.929678606
321	1.929653314
322	1.929609459
323	1.929579002
324	1.929457267
325	1.929328398
326	1.929186611
327	1.929092522
328	1.929027532
329	1.928936538
330	1.928779476
331	1.928634248
332	1.928538051
333	1.928388203
334	1.928264664
335	1.928067634
336	1.927892273
337	1.927857013
338	1.927762992
339	1.927616801
340	1.927453108
341	1.927417307
342	1.927377465
343	1.927239494
344	1.927159921
345	1.927002245
346	1.926924377
347	1.926788339
348	1.926738714
349	1.926685282
350	1.926638376
351	1.926484971
352	1.926385374
353	1.926225369
354	1.926105939
355	1.926069279
356	1.926035631
357	1.9259427
358	1.925865162
359	1.925812511
360	1.925752588
361	1.925692107
362	1.925581626
363	1.925529256
364	1.925415104
365	1.925276232
366	1.925159387
367	1.925084473
368	1.924996597
369	1.924872231
370	1.924843174
371	1.924800506
372	1.924730288
373	1.924698209
374	1.924546855
375	1.92445113
376	1.924398284
377	1.924323691
378	1.92423012
379	1.924177006
380	1.924122831
381	1.924069046
382	1.92396511
383	1.92382736
384	1.923765049
385	1.923636249
386	1.923597513
387	1.923411114
388	1.923351241
389	1.923235595
390	1.92307012
391	1.923038936
392	1.922951335
393	1.922915671
394	1.92283223
395	1.922739688
396	1.922623866
397	1.922477631
398	1.922346061
399	1.922221319
400	1.922121661
401	1.922053525
402	1.921966566
403	1.921816379
404	1.921761398
405	1.921612997
406	1.921575732
407	1.921421779
408	1.92138051
409	1.921291961
410	1.921249222
411	1.921111159
412	1.921028129
413	1.920913782
414	1.920836537
415	1.920683459
416	1.920574882
417	1.920424371
418	1.920360967
419	1.920302082
420	1.920271452
421	1.920175113
422	1.920123494
423	1.920038469
424	1.919975771
425	1.91982482
426	1.919758581
427	1.919694563
428	1.919587485
429	1.919484008
430	1.919465573
431	1.91938024
432	1.919260027
433	1.919138584
434	1.919047431
435	1.91897097
436	1.918825688
437	1.918746277
438	1.918686531
439	1.918530661
440	1.918459813
441	1.918419117
442	1.918265902
443	1.918212631
444	1.918113672
445	1.918052457
446	1.917927172
447	1.917882255
448	1.91770018
449	1.917562903
450	1.917461448
451	1.917368461
452	1.917286259
453	1.917212053
454	1.917056017
455	1.917010336
456	1.916817861
457	1.916682525
458	1.916642046
459	1.916620116
460	1.916505371
461	1.916372381
462	1.916305311
463	1.916197853
464	1.916125918
465	1.916004593
466	1.915892494
467	1.915820404
468	1.915721963
469	1.915681811
470	1.915608244
471	1.915444701
472	1.91533043
473	1.915300111
474	1.915195632
475	1.915109694
476	1.914997586
477	1.914844693
478	1.914719938
479	1.914593961
480	1.914492287
481	1.914392038
482	1.914285969
483	1.914237307
484	1.914166087
485	1.914147033
486	1.914018929
487	1.913881567
488	1.913763474
489	1.913688376
490	1.913545542
491	1.913434846
492	1.91329991
493	1.913245586
494	1.913159583
495	1.913006803
496	1.912932947
497	1.912829022
498	1.91276983
499	1.912672412
